READ SERR 1
@norm_1ph_per_keVcm2s_wabs-0.pco
!
0.108886987 6.76689888E-5 3.02262488E-4
0.109022409 6.77531425E-5 3.10557953E-4
0.109157994 6.78374054E-5 3.19051993E-4
0.109293759 6.79217774E-5 3.27749003E-4
0.109429687 6.80062512E-5 3.36652331E-4
0.10956578 6.80908342E-5 3.45766195E-4
0.109702051 6.81755118E-5 3.55095719E-4
0.109838486 6.82603059E-5 3.64644686E-4
0.109975092 6.83452017E-5 3.74416995E-4
0.110111862 6.84301995E-5 3.8441681E-4
0.110248812 6.85153063E-5 3.94648436E-4
0.110385925 6.86005151E-5 4.05117229E-4
0.110523216 6.8685833E-5 4.15827613E-4
0.110660672 6.877126E-5 4.26783547E-4
0.110798299 6.88567889E-5 4.37990006E-4
0.110936098 6.89424269E-5 4.49451676E-4
0.111074068 6.9028174E-5 4.61173622E-4
0.111212209 6.91140231E-5 4.73160704E-4
0.111350521 6.91999812E-5 4.85417084E-4
0.111489013 6.92860413E-5 4.97948378E-4
0.111627668 6.93722104E-5 5.10760234E-4
0.111766502 6.94584887E-5 5.23856899E-4
0.1119055 6.95448762E-5 5.37243963E-4
0.112044677 6.96313655E-5 5.50926896E-4
0.112184025 6.97179712E-5 5.64910704E-4
0.112323552 6.98046788E-5 5.7920086E-4
0.112463243 6.98914882E-5 5.93802251E-4
0.112603113 6.99784141E-5 6.08721515E-4
0.112743162 7.00654491E-5 6.23963424E-4
0.112883382 7.0152586E-5 6.39534323E-4
0.113023773 7.0239832E-5 6.55440264E-4
0.113164335 7.03271944E-5 6.71686372E-4
0.113305077 7.04146587E-5 6.88278524E-4
0.113445997 7.05022321E-5 7.05223414E-4
0.113587089 7.05899147E-5 7.22526573E-4
0.113728359 7.06777064E-5 7.4019446E-4
0.113869801 7.07656072E-5 7.58233771E-4
0.114011422 7.08536172E-5 7.76648638E-4
0.114153214 7.09417363E-5 7.95448199E-4
0.114295185 7.10299719E-5 8.14637751E-4
0.114437334 7.11183093E-5 8.34222417E-4
0.114579663 7.12067558E-5 8.54211277E-4
0.114722162 7.12953188E-5 8.74609919E-4
0.114864841 7.13839909E-5 8.95424455E-4
0.115007699 7.14727648E-5 9.16662917E-4
0.115150735 7.15616552E-5 9.3833165E-4
0.115293942 7.1650662E-5 9.60437232E-4
0.115437336 7.17397706E-5 9.82987112E-4
0.115580902 7.18289957E-5 1.00598857E-3
0.115724653 7.19183226E-5 1.02944847E-3
0.115868576 7.20077733E-5 1.05337438E-3
0.116012685 7.20973258E-5 1.0777741E-3
0.116156965 7.21869947E-5 1.10265589E-3
0.116301432 7.22767727E-5 1.12802617E-3
0.11644607 7.23666599E-5 1.15389039E-3
0.116590895 7.24566635E-5 1.18025835E-3
0.116735898 7.25467762E-5 1.20713958E-3
0.116881087 7.26370054E-5 1.23454013E-3
0.117026448 7.27273436E-5 1.26246607E-3
0.117171995 7.28177911E-5 1.29092776E-3
0.117317721 7.29083549E-5 1.31993415E-3
0.117463626 7.29990279E-5 1.34949293E-3
0.117609717 7.30898173E-5 1.3796105E-3
0.117755987 7.31807231E-5 1.41029549E-3
0.117902435 7.32717381E-5 1.44155836E-3
